franchise_id,season,season_source,template,completeness,name_raw,name_order,birth_year_2digit,age,approx_birth_year,tier,candidate_ids,candidate_names,already_has_season_row,note,disposition,disposition_note
cangrejeros_santurce,2009,year_param,flat_bo,full,Ayuso Larry,surname_first,77,,,1_exact_birth_confirmed,574,"Ayuso Carrillo, Elias",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, alias-table fix: exact-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
cangrejeros_santurce,2009,year_param,flat_bo,full,Berdiel Ali,surname_first,83,,,1_exact_birth_confirmed,1666,"Berdiel Aponte, Miguel Ali",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14: upgraded from insufficient_evidence after the two-given-name matching fix surfaced an exact 1983 birth-year agreement against 1666 Berdiel Aponte, Miguel Ali - an identity already confirmed many times elsewhere in this ingest under the fuller name."
cangrejeros_santurce,2009,year_param,flat_bo,full,Dalmau Ricardo,surname_first,77,,,1_exact_birth_confirmed,1992,"Dalmau Santana, Ricardo",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Gonzalez Miguel,surname_first,84,,,1_exact_birth_confirmed,2398,"Gonzalez, Miguel",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Narvaez Manuel,surname_first,81,,,1_exact_birth_confirmed,1562,"Narvaez Rivera, Manuel Antonio",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Nelson Edward,surname_first,82,,,1_exact_birth_confirmed,2575,"Nelson, Edward",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Rivas Luis,surname_first,80,,,1_exact_birth_confirmed,1512,"Rivas Kuzmitsky, Luis A.",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Rivera Christian,surname_first,83,,,1_exact_birth_confirmed,386,"Rivera Ortiz, Christian J.",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Santiago Eddin 'Guayito',surname_first,79,,,1_exact_birth_confirmed,502,"Santiago Cordero, Eddin",yes,"partial_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2009,year_param,flat_bo,full,Venzen Gilberto,surname_first,77,,,1_exact_birth_confirmed,808,"Venzen Aloyo, Gilberto",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2010,year_param,flat_bo,full,Colon Benjamin,surname_first,84,,,1_exact_birth_confirmed,2336,"Colon Mojica, Benjamin",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2010,year_param,flat_bo,full,Cruz Dane,surname_first,86,,,1_exact_birth_confirmed,2568,"Cruz Price, Dane A.",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2010,year_param,flat_bo,full,Dalmau Ricardo,surname_first,77,,,1_exact_birth_confirmed,1992,"Dalmau Santana, Ricardo",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2010,year_param,flat_bo,full,Gonzalez Christopher,surname_first,85,,,1_exact_birth_confirmed,2574,"Gonzalez Gómez, Christopher",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2010,year_param,flat_bo,full,Gonzalez Miguel,surname_first,84,,,1_exact_birth_confirmed,2398,"Gonzalez, Miguel",no,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
cangrejeros_santurce,2010,year_param,flat_bo,full,Hodge Walter,surname_first,86,,,1_exact_birth_confirmed,2514,"Hodge Jr., Walter",yes,"exact_name, birth year agrees",confirmed_match,"owner accepted 2026-09-14, exact-birth-year tier, single agreeing candidate"
