game_id,season,date,script,team_a_raw,score_a,team_b_raw,score_b,quarters_a,quarters_b,confidence,source_id,source_url,retrieved_at
BS21001,2001,2001-05-16,gamestatwide.asp,SANTURCE,95,BAYAMON,82,24-24-28-16-0-0,18-16-21-30-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21002,2001,2020-05-16,gamestatwide.asp,CAGUAS,98,COAMO,80,12-21-14-34-0-0,28-15-27-27-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111213643id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21002,2026-09-08T15:38:44Z
BS21003,2001,2001-05-17,gamestatwide.asp,ISABELA,84,AIBONITO,87,21-12-13-38-0-0,17-28-20-22-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111213858id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21003,2026-09-08T15:38:46Z
BS21005,2001,2001-05-17,gamestatwide.asp,SAN GERMAN,91,GUAYAMA,86,22-21-36-12-0-0,26-29-11-20-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011224150148id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21005&grupo=,2026-09-08T15:41:14Z
BS21006,2001,2001-05-18,gamestatwide.asp,GUAYAMA,68,BAYAMON,75,14-25-17-12-0-0,18-15-22-20-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011125215016id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21006&grupo=,2026-09-08T15:39:13Z
BS21007,2001,2001-05-18,gamestatwide.asp,COAMO,75,PONCE,94,21-17-16-21-0-0,22-24-17-31-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111220100id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21007,2026-09-08T15:38:54Z
BS21008,2001,2001-05-18,gamestatwide.asp,ARECIBO,94,CAROLINA,77,30-24-23-17-0-0,17-19-25-16-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111222028id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21008,2026-09-08T15:38:58Z
BS21009,2001,2001-05-18,gamestatwide.asp,QUEBRADILLAS,94,CAGUAS,96,19-21-17-21-16-0,21-13-18-26-18-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011226135044id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21009,2026-09-08T15:41:44Z
BS21010,2001,2001-05-19,gamestatwide.asp,MOROVIS,96,MAYAGUEZ,115,22-28-25-21-0-0,29-19-32-35-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111211650id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21010,2026-09-08T15:38:37Z
BS21011,2001,2001-05-19,gamestatwide.asp,PONCE,76,SAN GERMAN,95,23-22-19-12-0-0,20-25-23-27-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011218001103id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21011&GRUPO=PO99&SERIE=4,2026-09-08T15:40:07Z
BS21011,2001,2001-05-19,gamestatwide.asp,PONCE,76,SAN GERMAN,95,23-22-19-12-0-0,20-25-23-27-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011224143551id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21011&grupo=,2026-09-08T15:40:55Z
BS21012,2001,2001-03-24,gamestatwide.asp,AIBONITO,109,ARECIBO,99,23-35-20-31-0-0,17-23-26-33-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111212851id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21012,2026-09-08T15:38:39Z
BS21013,2001,2001-05-19,gamestatwide.asp,ISABELA,70,SANTURCE,102,23-18-13-16-0-0,23-21-24-34-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111213347id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21013,2026-09-08T15:38:40Z
BS21014,2001,2001-05-20,gamestatwide.asp,MAYAGUEZ,92,COAMO,90,24-29-18-21-0-0,27-21-24-18-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011226142227id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21014,2026-09-08T15:41:46Z
BS21015,2001,2001-05-20,gamestatwide.asp,CAGUAS,91,ISABELA,90,21-31-16-23-0-0,18-24-23-25-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111214704id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21015,2026-09-08T15:38:48Z
BS21016,2001,2001-03-25,gamestatwide.asp,SAN GERMAN,123,QUEBRADILLAS,99,21-26-39-37-0-0,35-12-32-20-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111215632id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21016,2026-09-08T15:38:52Z
BS21017,2001,2001-05-21,gamestatwide.asp,ARECIBO,118,MOROVIS,100,23-37-23-35-0-0,31-27-21-31-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011226143620id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21017,2026-09-08T15:41:48Z
BS21018,2001,2001-05-21,gamestatwide.asp,AIBONITO,69,PONCE,78,19-12-16-22-0-0,19-14-23-22-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20020423093620id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21018&grupo=,2026-09-08T15:42:17Z
BS21019,2001,2001-05-21,gamestatwide.asp,COAMO,87,BAYAMON,97,20-27-18-22-0-0,19-21-32-25-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011125215624id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21019&grupo=,2026-09-08T15:39:16Z
BS21020,2001,2001-05-21,gamestatwide.asp,SANTURCE,101,GUAYAMA,77,22-23-22-34-0-0,21-21-23-12-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005085740id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21020&grupo=,2026-09-08T15:36:52Z
BS21022,2001,2001-05-22,gamestatwide.asp,CAGUAS,109,ARECIBO,101,25-20-32-32-0-0,20-20-28-33-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011111213541id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21022,2026-09-08T15:38:43Z
BS21023,2001,2001-05-22,gamestatwide.asp,CAROLINA,90,SAN GERMAN,114,27-18-25-20-0-0,28-25-33-28-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011224144317id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21023&grupo=,2026-09-08T15:40:59Z
BS21024,2001,2001-05-23,gamestatwide.asp,GUAYAMA,84,PONCE,83,24-22-15-23-0-0,17-24-19-23-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20020423093257id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21024&grupo=,2026-09-08T15:42:15Z
BS21025,2001,2001-05-23,gamestatwide.asp,SANTURCE,113,CAGUAS,94,34-20-31-28-0-0,21-26-16-31-0-0,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005085046id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21025&grupo=,2026-09-08T15:36:50Z
